Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Utilizing a multilayer perceptron artificial neural network to assess a virtual reality surgical procedure,"Alkadri, S.; Ledwos, N.; Mirchi, N.; Reich, A.; Yilmaz, R.; Driscoll, M.; Del Maestro, R. F.","Background: Virtual reality surgical simulators are a safe and efficient technology for the assessment and training of surgical skills. Simulators allow trainees to improve specific surgical techniques in risk-free environments. Recently, machine learning has been coupled to simulators to classify performance. However, most studies fail to extract meaningful observations behind the classifications and the impact of specific surgical metrics on the performance. One benefit from integrating machine learning algorithms, such as Artificial Neural Networks, to simulators is the ability to extract novel insights into the composites of the surgical performance that differentiate levels of expertise. Objective(s): This study aims to demonstrate the benefits of artificial neural network algorithms in assessing and analyzing virtual surgical performances. This study applies the algorithm on a virtual reality simulated annulus incision task during an anterior cervical discectomy and fusion scenario. Design(s): An artificial neural network algorithm was developed and integrated. Participants performed the simulated surgical procedure on the Sim-Ortho simulator. Data extracted from the annulus incision task were extracted to generate 157 surgical performance metrics that spanned three categories (motion, safety, and efficiency). Setting(s): Musculoskeletal Biomechanics Research Lab; Neurosurgical Simulation and Artificial Intelligence Learning Center, McGill University, Montreal, Canada. Participant(s): Twenty-three participants were recruited and divided into 3 groups: 11 post-residents, 5 senior and 7 junior residents. Result(s): An artificial neural network model was trained on nine selected surgical metrics, spanning all three categories and achieved 80% testing accuracy. Conclusion(s): This study outlines the benefits of integrating artificial neural networks to virtual reality surgical simulators in understanding composites of expertise performance. Copyright © 2021",2021,September,Computers in Biology and Medicine,136 (no pagination),,,2014138891,,,#118,Alkadri 2021,,XR for knowledge measurement
VR-based training of craniotomy for intracranial aneurysm surgery,"Allgaier, M.; Amini, A.; Neyazi, B.; Sandalcioglu, I. E.; Preim, B.; Saalfeld, S.","Purpose: Intracranial aneurysms can be treated micro-surgically. This procedure involves an appropriate head position of the patient and a proper craniotomy. These steps enable a proper access, facilitating the subsequent steps. To train the access planning process, we propose a VR-based training system. Method(s): We designed and implemented an immersive VR access simulation, where the user is surrounded by a virtual operating room, including medical equipment and virtual staff. The patient's head can be positioned via hand rotation and an arbitrary craniotomy contour can be drawn. The chosen access can be evaluated by exposing the aneurysm using a microscopic view. Result(s): The evaluation of the simulation took place in three stages: testing the simulation using the think-aloud method, conducting a survey and examining the precision of drawing the contour. Although there are differences between the virtual interactions and their counterparts in reality, the participants liked the immersion and felt present in the operating room. The calculated surface dice similarity coefficient, Hausdorff distance and feedback of the participants show that the difficulty of drawing the craniotomy is appropriate. Conclusion(s): The presented training simulation for head positioning and access planning benefits from the immersive environment. Thus, it is an appropriate training for novice neurosurgeons and medical students with the goal to improve anatomical understanding and to become aware of the importance of the right craniotomy hole. Copyright © 2021, The Author(s).",2022,March,International Journal of Computer Assisted Radiology and Surgery,17(3),,449-456,2014510679,,,#124,Allgaier 2022,,
Transfer of Flexible Ureteroscopic Stone-Extraction Skill from a Virtual Reality Simulator to the Operating Theatre: A Pilot Study,"Aloosh, M.; Noureldin, Y. A.; Andonian, S.","Aim: To assess the learning curve of flexible ureteroscopic stone extraction using the UroMentorTM simulator and transfer of flexible ureteroscopic stone extraction skills to the operating theatre. Material(s) and Method(s): After obtaining ethics approval, urology Post-Graduate Trainees (PGTs) from Post-Graduate Years (PGYs) 1 to 4 were recruited. During phase I, participants completed 3 weekly 1-hour training sessions on the UroMentor simulator practicing task 10, where two stones from the left proximal ureter and renal pelvis were extracted using a basket. Objective assessments by the simulator and subjective assessments using the validated Ureteroscopy-Global Rating Scale (URS-GRS) were used to establish the learning curve. During phase II, the URS-GRS tool was used to assess performance of participants in the operating theatre. URS-GRS scores obtained on the simulator and in the operating theatre were correlated. Result(s): In phase I, eight urology PGTs (PGY1-4) with mean age of 27.8 +/- 2 (25-31) years participated in the study. PGTs practiced a total of 52 times, with a mean operative time of 14.6 +/- 4.3 minutes and a mean fluoroscopy time of 10.4 +/- 12 seconds. Competency in task 10 was achieved after seven trials on the UroMentor simulator. In phase II, 5 PGTs were assessed during 55 consecutive flexible ureteroscopic stone extraction in the operating theatre. The mean operative time was 51.4 +/- 15.2 minutes and the mean fluoroscopy time was 29 +/- 6 seconds. There was a significant positive correlation between URS-GRS scores obtained on the simulator and in the operating theatre (r = 0.9, p = 0.03), thus establishing predictive validity of performance on the UroMentor simulator. Conclusion(s): Competency in task 10 on the UroMentor simulator (flexible ureteroscopic stone extraction) was achieved after seven trials. Since there was a strong positive correlation between URS-GRS scores on the simulator and in the operating theatre, the skills obtained on the simulator could be transferred to the operating theatre. © Copyright 2016, Mary Ann Liebert, Inc.",2016,October,Journal of Endourology,30(10),,1120-1125,612649581,,,#136,Aloosh 2016,William Bond (2023-02-26 11:15:53)(Screen): may be duplicate; ,
Face and content validity of the virtual reality simulator 'ScanTrainer',"Alsalamah, A.; Campo, R.; Tanos, V.; Grimbizis, G.; Van Belle, Y.; Hood, K.; Pugh, N.; Amso, N.","Background: Ultrasonography is a first-line imaging in the investigation of women's irregular bleeding and other gynaecological pathologies, e.g. ovarian cysts and early pregnancy problems. However, teaching ultrasound, especially transvaginal scanning, remains a challenge for health professionals. New technology such as simulation may potentially facilitate and expedite the process of learning ultrasound. Simulation may prove to be realistic, very close to real patient scanning experience for the sonographer and objectively able to assist the development of basic skills such as image manipulation, hand-eye coordination and examination technique. Objective(s): The aim of this study was to determine the face and content validity of a virtual reality simulator (ScanTrainer, MedaPhor plc, Cardiff, Wales, UK) as reflective of real transvaginal ultrasound (TVUS) scanning. Method(s): A questionnaire with 14 simulator-related statements was distributed to a number of participants with differing levels of sonography experience in order to determine the level of agreement between the use of the simulator in training and real practice. Result(s): There were 36 participants: novices (n = 25) and experts (n = 11) who rated the simulator. Median scores of face validity statements between experts and non-experts using a 10-point visual analogue scale (VAS) ratings ranged between 7.5 and 9.0 (p > 0.05) indicated a high level of agreement. Experts' median scores of content validity statements ranged from 8.4 to 9.0. Conclusion(s): The findings confirm that the simulator has the feel and look of real-time scanning with high face validity. Similarly, its tutorial structures and learning steps confirm the content validity. Copyright © 2017, The Author(s).",2017,1-Dec,Gynecological Surgery,14(1) (no pagination),,,618283505,,,#141,Alsalamah 2017,,
Use of a low-cost portable 3d virtual reality gesture-mediated simulator for training and learning basic psychomotor skills in minimally invasive surgery: Development and content validity study,"Alvarez-Lopez, F.; Maina, M. F.; Saigi-Rubio, F.","Background: Simulation in virtual environments has become a new paradigm for surgeon training in minimally invasive surgery (MIS). However, this technology is expensive and difficult to access. Objective(s): This study aims first to describe the development of a new gesture-based simulator for learning skills in MIS and, second, to establish its fidelity to the criterion and sources of content-related validity evidence. Method(s): For the development of the gesture-mediated simulator for MIS using virtual reality (SIMISGEST-VR), a design-based research (DBR) paradigm was adopted. For the second objective, 30 participants completed a questionnaire, with responses scored on a 5-point Likert scale. A literature review on the validity of the MIS training-VR (MIST-VR) was conducted. The study of fidelity to the criterion was rated using a 10-item questionnaire, while the sources of content-related validity evidence were assessed using 10 questions about the simulator training capacity and 6 questions about MIS tasks, and an iterative process of instrument pilot testing was performed. Result(s): A good enough prototype of a gesture-based simulator was developed with metrics and feedback for learning psychomotor skills in MIS. As per the survey conducted to assess the fidelity to the criterion, all 30 participants felt that most aspects of the simulator were adequately realistic and that it could be used as a tool for teaching basic psychomotor skills in laparoscopic surgery (Likert score: 4.07-4.73). The sources of content-related validity evidence showed that this study's simulator is a reliable training tool and that the exercises enable learning of the basic psychomotor skills required in MIS (Likert score: 4.28-4.67). Conclusion(s): The development of gesture-based 3D virtual environments for training and learning basic psychomotor skills in MIS opens up a new approach to low-cost, portable simulation that allows ubiquitous learning and preoperative warm-up. Fidelity to the criterion was duly evaluated, which allowed a good enough prototype to be achieved. Content-related validity evidence for SIMISGEST-VR was also obtained. Copyright © Fernando Alvarez-Lopez, Marcelo Fabian Maina, Francesc Saigi-Rubio. Originally published in the Journal of Medical Internet Research (http://www.jmir.org), 14.07.2020. This is an open-access article distributed under the terms of the Creative Commons Attribution License (https://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in the Journal of Medical Internet Research, is properly cited. The complete bibliographic information, a link to the original publication on http://www.jmir.org/, as well as this copyright and license information must be included.",2020,July,Journal of Medical Internet Research,22(7) (no pagination),,,2010074815,,,#144,Alvarez-Lopez 2020,William Bond (2023-02-13 03:41:16)(Screen): content validity of the simulator isn't really data on its perceived educational effectiveness or actual effectiveness through knowledge change; ,
Is the use of augmented reality-assisted surgery beneficial in urological education? A systematic review,"Alzouebi, I. A.; Saad, S.; Farmer, T.; Green, S.","Background: Google Glass is an optical head-mounted display that has been used in multiple medical and surgical settings to enhance delivery of education and training. This systematic review focuses solely on the use of this technology in urology operating theaters for the purpose of surgical education. Material(s) and Method(s): A systematic search strategy was employed using EMBASE (1996-2019), Medline (1946-2019) and PubMed. Search terms included optical head-mounted displays, Google Glass and urological surgical training. Use of this technology in a nonurological setting, nonteaching sessions, case reports, reviews, editorials, abstracts, and articles not in English were rejected. Three studies were identified following the exclusion criteria. Result(s): All 3 studies received positive feedback from trainees regarding this technology in relation to enhanced surgical education. In addition, in all studies the trainees felt the technology had a place for educational training in the future. All studies described disadvantages to the technology as well including battery life, comfort, and cost. Conclusion(s): Studies describe a big potential for Google Glass and similar head-mounted devices for the role of surgical training in urology, however, larger studies looking at more varied operations can help reinforce this viewpoint. Copyright © 2021 The Authors. Published by Wolters Kluwer Health, Inc. This is an open access article distributed under the terms of the Creative Commons Attribution-Non Commercial-No Derivatives License 4.0 (CCBY-NC-ND), where it is permissible to download and share the work provided it is properly cited. The work cannot be changed in any way or used commercially without permission from the journal.",2021,1-Sep,Current Urology,15(3),,148-152,2015980497,,,#146,Alzouebi 2021,,
Virtual simulation to personalize student learning in a required pharmacy course,"Ambroziak, K.; Ibrahim, N.; Marshall, V. D.; Kelling, S. E.","Background and purpose: Virtual simulation is used to provide a realistic and safe environment for student pharmacists to learn and practice a variety of skills in the didactic and experiential settings. Education activity and setting: The simulation program, MyDispense, that is used to teach medication dispensing in the outpatient setting was incorporated into a 2-credit hour required first-year pharmacy practice skills course. A total of 30 optional and 16 required exercises were completed by students. Finding(s): There was a total of 2,457 attempts (mean = 28.9 attempts per student) at optional practice exercises and students completed an average of 16.6 +/- 7.9 (range 1-30). While variation in the number of optional practice exercises completed was observed between students with varying levels of pharmacy experience, the difference was not statistically significant. A component of the final exam utilized the virtual simulation program and all students passed this portion of the exam based on a minimum requirement of 70.0% (mean 92.9%, range 74.5-100%). Discussion(s): Students generally identified that the use of virtual simulation was an effective tool to learn medication dispensing skills in a classroom setting. Furthermore, this created an opportunity for pharmacy practice residents to develop teaching skills. The biggest barrier to implementation was the amount of time required to create and test each exercise. The virtual simulation program allowed students to self-identify the amount of practice they thought was necessary in order to gain specific skills related to medication dispensing. Copyright © 2018 Elsevier Inc.",2018,June,Currents in Pharmacy Teaching and Learning,10(6),,750-756,2000952651,,,#154,Ambroziak 2018,,
A Mobile-Based Surgical Simulation Application: A Comparative Analysis of Efficacy Using a Carpal Tunnel Release Module,"Amer, K. M.; Mur, T.; Amer, K.; Ilyas, A. M.","Purpose The utilization of surgical simulation continues to grow in medical training. The TouchSurgery application (app) is a new interactive virtual reality smartphone- or tablet-based app that offers a step-by-step tutorial and simulation for the execution of various operations. The purpose of this study was to compare the efficacy of the app versus traditional teaching modalities utilizing the ""Carpal Tunnel Surgery"" module. We hypothesized that users of the app would score higher than those using the traditional education medium indicating higher understanding of the steps of surgery. Methods A total of 100 medical students were recruited to participate. The control group (n = 50) consisted of students learning about carpal tunnel release surgery using a video lecture utilizing slides. The study group (n = 50) consisted of students learning the procedure through the app. The content covered was identical in both groups but delivered through the different mediums. Outcome measures included comparison of test scores and overall app satisfaction. Results Test scores in the study group (89.3%) using the app were significantly higher than those in the control group (75.6%). Students in the study group rated the overall content validity, quality of graphics, ease of use, and usefulness to surgery preparation as very high (4.8 of 5). Conclusions Students utilizing the app performed better on a standardized test examining the steps of a carpal tunnel release than those using a traditional teaching modality. The study findings lend support for the use of the app for medical students to prepare for and learn the steps for various surgical procedures. Clinical relevance This study provides useful information on surgical simulation, which can be utilized to educate trainees for new procedures. Copyright © 2017 American Society for Surgery of the Hand",2017,May,Journal of Hand Surgery,42(5),,e1-389,614881291,,,#156,Amer 2017,,
Feasibility and usability study of a pilot immersive virtual reality-based empathy training for dental providers,"Amini, H.; Gregory, M. E.; Abrams, M. A.; Luna, J.; Roland, M.; Sova, L. N.; Bean, C.; Huang, Y.; Pfeil, S. A.; Townsend, J.; Lin, E. J. D.","PURPOSE: Social determinants of health (SDOH) significantly impact individuals' engagement with the healthcare system. To address SDOH-related oral health disparities, providers must be equipped with knowledge, skills, and attitudes (KSAs) to understand how SDOH affect patients and how to mitigate these effects. Traditional dental school curricula provide limited training on recognizing SDOH or developing empathy for those with SDOH-related access barriers. This study describes the design and evaluation of such a virtual reality (VR)-based simulation in dental training. We hypothesize the simulation will increase post-training KSAs. METHOD(S): We developed ""MPATHI"" (Making Professionals Able THrough Immersion), a scripted VR simulation where participants take the role of an English-speaking caregiver with limited socioeconomic resources seeking dental care for a child in a Spanish-speaking country. The simulation is a combination of 360degree video recording and virtual scenes delivered via VR headsets. A pilot was conducted with 29 dental residents/faculty, utilizing a pre-post design to evaluate effectiveness in improving immediate and retention of KSAs toward care delivery for families facing barriers. RESULT(S): MPATHI led to increased mean scores for cognitive (pre = 3.48 +/- 0.80, post = 4.56 +/- 0.51, p < 0.001), affective (pre = 4.20 +/- 0.4, post = 4.47 +/- 0.44, p < 0.001), and skill-based learning (pre = 4.00 +/- 0.47, post = 4.52 +/- 0.37, p < 0.001) immediately post-training. There was not a significant difference between skills measured immediately post-training and in the 1-month post-training survey (p = 0.41). Participants reported high satisfaction with the content and methods used in this training. CONCLUSION(S): This pilot study supports using VR SDOH training in dental education. VR technology provides new opportunities for innovative content design. Copyright © 2021 American Dental Education Association.",2021,1-Jun,Journal of dental education,85(6),,856-865,,,,#159,Amini 2021,,
Teaching ultrasound-guided peripheral venous catheter placement through immersive virtual reality: An explorative pilot study,"Andersen, N. L.; Jensen, R. O.; Posth, S.; Laursen, C. B.; Jorgensen, R.; Graumann, O.","INTRODUCTION: Immersive virtual reality (IVR)-based training is gaining ground as an educational tool in healthcare. When combined with well-established educational methods, IVR can potentially increase competency and autonomy in ultrasound (US)-guided peripheral venous cannulation.The aim of this study was to examine the impact of adding IVR training to a course in US-guided peripheral venous cannulation. METHOD(S): Medical students (n = 19) from the University of Southern Denmark with no former standardized US education were recruited to voluntarily participate in a pilot study, designed as a randomized controlled trial. The primary outcome was the proportion of successful peripheral venous cannulations on a phantom. Secondary outcomes included the proportion of surface punctures on the phantom and procedure time. Participants received e-learning on the basic US before randomization to either IVR (n = 10) or no further training (n = 9). The additional IVR training comprised 10 virtual scenarios for US-guided peripheral venous catheter (PVC) placement. Students were subsequently evaluated in peripheral venous cannulation by a blinded assessor. RESULT(S): The proportion of successful peripheral venous cannulations was significantly higher in the IVR group (P <= .001). The proportions of successful cannulations were significantly higher in the IVR group compared to the control group for the 1st and 2nd PVC (P = .011, P = .023), but not for the 3rd PVC (P = .087). Similar results were found for the proportion of surface punctures (1st: P <= .001, 2nd: P = .001, and 3rd: P = .114). No significant differences in procedure times were found between the groups. CONCLUSION(S): This pilot study showed that adding an IVR-based training simulation to an existing e-learning curriculum significantly increased the learning efficacy of US-guided PVC placement for medical students. Copyright © 2021 the Author(s). Published by Wolters Kluwer Health, Inc.",2021,9-Jul,Medicine,100(27),,e26394,635555191,,,#171,Andersen 2021,,
The Effect of a Distributed Virtual Reality Simulation Training Program on Dissection Mastoidectomy Performance,"Andersen, S. A. W.; Foghsgaard, S.; Caye-Thomasen, P.; Sorensen, M. S.","OBJECTIVE: To investigate the effect on final-product performance of a distributed, virtual reality (VR) simulation training program on cadaveric dissection performance and learning curves compared with standard VR simulation training during a temporal bone course. STUDY DESIGN: Educational interventional cohort study. SETTING: The national Danish temporal bone courses of 2016 and 2017. SUBJECTS: Postgraduate year 2 to 5 residents in otorhinolaryngology. INTERVENTION: Nine participants volunteered for additional VR simulation training (intervention) before the temporal bone course, with training blocks distributed (i.e., separated). The remaining 28 participants received standard VR simulation training during the temporal bone course (control). MAIN OUTCOME MEASURE: VR simulation and cadaveric dissection final-product performances were analyzed by blinded raters using a 26-item modified Welling Scale. RESULT(S): Distributed VR simulation training before the temporal bone course (intervention) significantly increased dissection final-product performance by 25% compared with standard VR simulation training during the course (control) (mean scores 12.8 points versus 10.3 points, p < 0.01). Distributed and repeated VR simulation practice markedly decreased drilling time. Guidance by the simulator-integrated tutor-function significantly increased final-product performance by 2.3 points compared with nontutored procedures but at the cost of increased drilling time. CONCLUSION(S): Skills acquired in a VR simulation environment translate to cadaveric dissection skills and repeated and distributed VR simulation can be used to further increase performance compared with standard VR simulation training during a temporal bone course. Further dissemination of inexpensive VR simulators would allow all future temporal bone course participants to train locally before attending future centralized courses.",2018,1-Dec,"Otology & neurotology : official publication of the American Otological Society, American Neurotology Society [and] European Academy of Otology and Neurotology",39(10),,1277-1284,625030600,,,#173,Andersen 2018,,
